Date,Open,High,Low,Close,Adj Close,Volume
2023-10-02,23.889999389648438,23.889999389648438,23.809999465942383,23.83300018310547,23.283771514892578,1700
2023-10-03,23.670000076293945,23.670000076293945,23.555999755859375,23.555999755859375,23.013151168823242,1400
2023-10-04,23.610000610351562,23.68000030517578,23.600000381469727,23.672000885009766,23.126482009887695,1800
2023-10-05,23.649999618530273,23.704999923706055,23.6299991607666,23.70199966430664,23.15578842163086,2300
2023-10-06,23.600000381469727,23.770000457763672,23.540000915527344,23.753999710083008,23.20659065246582,6400
2023-10-09,23.7810001373291,24.1200008392334,23.7810001373291,24.1200008392334,23.564157485961914,17700
2023-10-10,23.85300064086914,24.110000610351562,23.85300064086914,24.079999923706055,23.52507972717285,12900
2023-10-11,23.95599937438965,23.969999313354492,23.795000076293945,23.93000030517578,23.3785343170166,7000
2023-10-12,23.860000610351562,23.860000610351562,23.739999771118164,23.7549991607666,23.207569122314453,3700
2023-10-13,23.940000534057617,24.020000457763672,23.690000534057617,23.690000534057617,23.144065856933594,17400
2023-10-16,23.780000686645508,23.780000686645508,23.700000762939453,23.729999542236328,23.18314552307129,4100
2023-10-17,23.639999389648438,23.639999389648438,23.600000381469727,23.610000610351562,23.06591033935547,3400
2023-10-18,23.559999465942383,23.559999465942383,23.454999923706055,23.454999923706055,22.91448211669922,2000
2023-10-19,23.510000228881836,23.549999237060547,23.400999069213867,23.400999069213867,22.861724853515625,2900
2023-10-20,23.459999084472656,23.459999084472656,23.3799991607666,23.459999084472656,22.91936683654785,1000
2023-10-23,23.235000610351562,23.43000030517578,23.235000610351562,23.389999389648438,22.99901008605957,500
2023-10-24,23.5,23.56999969482422,23.5,23.55500030517578,23.1612548828125,2500
2023-10-25,23.520000457763672,23.520000457763672,23.389999389648438,23.389999389648438,22.99901008605957,8600
2023-10-26,23.43000030517578,23.524999618530273,23.43000030517578,23.524999618530273,23.131755828857422,600
2023-10-27,23.459999084472656,23.469999313354492,23.450000762939453,23.450000762939453,23.058008193969727,3600
2023-10-30,23.540000915527344,23.59000015258789,23.503999710083008,23.59000015258789,23.195669174194336,26600
